,ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
0,NNVBBKZB,Female,73,RG268,Other,X3,43,No,1045696,No,0
1,IDD62UNG,Female,30,RG277,Salaried,X1,32,No,581988,No,0
2,HD3DSEMC,Female,56,RG268,Self_Employed,X3,26,No,1484315,Yes,0
3,BF3NC7KV,Male,34,RG270,Salaried,X1,19,No,470454,No,0
4,TEASRWXV,Female,30,RG282,Salaried,X1,33,No,886787,No,0
5,ACUTYTWS,Male,56,RG261,Self_Employed,X1,32,No,544163,Yes,0
6,ETQCZFEJ,Male,62,RG282,Other,X3,20,,1056750,Yes,1
7,JJNJUQMQ,Female,48,RG265,Self_Employed,X3,13,No,444724,Yes,0
8,ZMQFYKCB,Female,40,RG283,Self_Employed,X2,38,No,1274284,No,0
9,NVKTFBA2,Female,55,RG268,Self_Employed,X2,49,Yes,2014239,No,0
10,NVC424KZ,Male,53,RG254,Self_Employed,X3,123,No,980664,Yes,0
11,GZ5TMYIR,Male,27,RG270,Self_Employed,X1,14,Yes,502787,No,0
12,FCPEEIY3,Female,27,RG277,Salaried,X1,20,No,811591,Yes,0
13,KCE7JSFN,Male,31,RG254,Salaried,X1,31,Yes,938754,No,0
14,EMEEHHBK,Male,79,RG277,Other,X3,57,No,832185,Yes,0
15,UJ2NJKKL,Male,33,RG268,Self_Employed,X2,69,,517063,Yes,1
16,CNGSPYWS,Female,46,RG268,Other,X3,97,Yes,2282502,No,1
17,VH7NBNNQ,Female,59,RG283,Other,X3,15,Yes,2384692,No,1
18,HDNJXDWC,Female,65,RG277,Other,X2,20,No,341573,Yes,0
19,BDOKI4CP,Female,37,RG269,Other,X1,63,No,633484,Yes,0
20,7PMYNWB3,Male,44,RG269,Self_Employed,X2,19,Yes,1001650,No,1
21,6JXEYFTS,Male,27,RG257,Salaried,X1,21,No,1239342,No,0
22,NRZGJBV6,Female,32,RG279,Salaried,X1,26,No,1339779,Yes,0
23,WWIFTDEZ,Male,50,RG280,Self_Employed,X3,99,No,887330,Yes,0
24,J7TXC9PM,Female,31,RG282,Salaried,X1,33,No,396806,No,0
25,BKYUGEXJ,Male,70,RG280,Other,X2,63,No,872600,No,0
26,TEEXIT7E,Male,25,RG283,Salaried,X1,14,No,804577,Yes,0
27,KKCUHNIZ,Female,31,RG268,Salaried,X1,26,No,1543429,No,0
28,D2HUKRM5,Female,27,RG277,Salaried,X1,19,No,423862,No,0
29,KGLLM5AM,Female,52,RG283,Self_Employed,X3,56,Yes,1056910,Yes,1
30,THFYI78B,Female,26,RG280,Salaried,X1,21,No,483136,No,0
31,ABPMK4WU,Female,32,RG279,Salaried,X4,15,,1072850,Yes,1
32,8NT2COGL,Female,32,RG252,Salaried,X1,31,No,394225,No,0
33,PQXUNUBE,Male,27,RG279,Salaried,X1,21,Yes,312158,No,0
34,FXPTJYP7,Male,67,RG268,Other,X1,87,Yes,1684182,No,1
35,PML5FCBV,Female,29,RG284,Salaried,X1,26,No,2521592,No,0
36,MTEIXMB9,Female,41,RG268,Self_Employed,X3,62,,962383,No,1
37,AGDXY8Y5,Male,59,RG284,Self_Employed,X3,55,Yes,294714,Yes,1
38,DVT4HY9T,Male,49,RG268,Salaried,X3,63,Yes,1280247,Yes,1
39,87RGCC5J,Female,48,RG283,Self_Employed,X1,26,Yes,1343268,Yes,0
40,6WX9JDVK,Female,63,RG254,Other,X3,103,,1249319,Yes,1
41,GOKQQYOZ,Female,34,RG259,Salaried,X1,21,Yes,503143,No,0
42,RZOTSEWU,Female,46,RG281,Self_Employed,X3,69,Yes,589616,Yes,0
43,8ZRKYVMC,Male,61,RG254,Self_Employed,X2,103,,2235617,Yes,1
44,UFQKX85Q,Female,34,RG258,Salaried,X1,31,No,643728,No,0
